character	killed by	death	type
<100> enemies	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (Budding Hunter Trophy)	
<15> other Ancient Automatas	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss as part of their Bestiary (excluding bosses and previously counted enemies)	
<15> other Cie'th	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss as part of their Bestiary (excluding bosses and previously counted enemies)	
<1> Feral Behemoth	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
<1> Yeul's previous Guardian	Caius Ballad	Slain by Caius Ballad	
<1> behemoth	Noel Kreiss	Slain by Noel Kreiss	
<1> chocobo	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
<1> miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
<22> other Militarized Units	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss as part of their Bestiary (excluding bosses and previously counted enemies)	
<3+> Augusta Tower scientists	Hope Estheim | Serah Farron	Duplicates erased from existence alongside the Proto fal'Cie Adam by Hope Estheim and Serah Farron (several mentioned)	clone
<3+> Augusta Tower scientists	Proto fal'Cie Adam	Murdered by the Proto fal'Cie Adam (several mentioned) (undone when it was erased from existence)	undone
<3> Gigantuars	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
<3> goblins	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
<6> other Rift Beasts	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss as part of their Bestiary (excluding bosses and previously counted enemies)	
<97> other Feral Creatures	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss as part of their Bestiary (excluding bosses and previously counted enemies)	
Abraham	Yeul	Erased from existence by a paradox Yeul inadvertently created when sealing an Ugallu in the void (eventually reborn within the New World)	reincarnated
Aloeidai	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Alyssa Zaidelle	Hope Estheim | Serah Farron	Duplicate erased from existence alongside the Proto fal'Cie Adam by Hope Estheim and Serah Farron	clone
Alyssa Zaidelle	Jihl Nabaat | Yaag Rosch | Galenth Dysley	Buried under a pile of rubble in a cave-in during the Purge led by Jihl Nabaat and Yaag Rosch on orders from Galenth Dysley (undone when Etro distorted the timeline)	undone
Alyssa Zaidelle	Proto fal'Cie Adam	Murdered by the Proto fal'Cie Adam (undone when it was erased from existence)	undone
Alyssa Zaidelle	Serah Farron | Noel Kreiss	Erased from existence when Serah Farron and Noel Kreiss resolved the Paradox	
Atlas	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Atlas	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (Paradox Ending)	non-canon
Ballad	Ballad	Sacrificed himself to protect Yeul from an enemy army (eventually reborn within the New World)	reincarnated
Bartholomew Estheim		Died from unknown causes (eventually reborn within the New World)	reincarnated
Black Miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Blue Miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Caius Ballad	Caius Ballad | Noel Kreiss	Stabbed himself through the chest using Noel Kreiss' blade (revived when he became one with chaos)	revived
Caius Ballad	Hope Estheim | Serah Farron	Duplicate erased from existence alongside the Proto fal'Cie Adam by Hope Estheim and Serah Farron	clone
Caius Ballad	Noel Kreiss	Murdered by Noel Kreiss (Paradox Ending)	non-canon
Caius Ballad	Serah Farron	Murdered by Serah Farron (Paradox Ending)	non-canon
Etro	Caius Ballad | Noel Kreiss	Slain when her Heart of Chaos was stabbed by Caius Ballad using Noel Kreiss' blade	
Etro	Etro	Tore herself apart out of despair (transported to the unseen world)	physical
Faeryl	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Ghast	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Gogmagog	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Gogmagog	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Gogmagog	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Gorgyra	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Hope Estheim	Hope Estheim | Serah Farron	Duplicate erased from existence alongside the Proto fal'Cie Adam by Hope Estheim and Serah Farron	clone
Hope Estheim	Proto fal'Cie Adam	Murdered by the Proto fal'Cie Adam (undone when it was erased from existence)	undone
Immortal	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Kalavinka	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Karl	Yeul	Erased from existence by a paradox Yeul inadvertently created when sealing an Ugallu in the void (eventually reborn within the New World)	reincarnated
Long Gui	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Marie	Yeul	Erased from existence by a paradox Yeul inadvertently created when sealing an Ugallu in the void (eventually reborn within the New World)	reincarnated
Mutantomato	Serah Farron | Noel Kreiss | Snow Villiers	Slain by Serah Farron, Noel Kreiss and Snow Villiers	
Mwynn	Bhunivelze	Devoured by the Chaos that festered as a result of Bhunivelze's attempt to reach the unseen realm	
Mwynn	Bhunivelze	Murdered by Bhunivelze (transported to the unseen world)	physical
Natarle		Died from an illness (eventually reborn within the New World)	reincarnated
Nena Stein	Jihl Nabaat | Yaag Rosch | Galenth Dysley | Etro	Buried under a pile of rubble in a cave-in during the Purge led by Jihl Nabaat and Yaag Rosch on orders from Galenth Dysley (paradox caused by Etro's distortion of the timeline, undone when it is restored)	undone
Noel Kreiss		Murdered by an army of Atlases (Paradox Ending)	non-canon
Noel Kreiss	Proto fal'Cie Adam	Murdered by the Proto fal'Cie Adam (undone when it was erased from existence)	undone
Noel Kreiss' father		Died from unknown causes (eventually reborn within the New World)	reincarnated
Noel Kreiss' grandmother		Died from unknown causes (eventually reborn within the New World)	reincarnated
Noel Kreiss' mother		Died from unknown causes (eventually reborn within the New World)	reincarnated
Ochu	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Pacos Amethyst	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Pacos Luvulite	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Pink Miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Proto fal'Cie Adam	Hope Estheim | Serah Farron	Erased from existence by Hope Estheim when Serah Farron indirectly warned him not to create the fal'Cie	
Proto fal'Cie Adam	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (negated his own defeat using time teleportation)	undone
Proto fal'Cie Adam	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (negated his own defeat using time teleportation)	undone
Proto fal'Cie Adam	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (negated his own defeat using time teleportation) (Paradox Ending)	undone | non-canon
Raspatil	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Red Miniflan	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss	
Rigo		Murdered by an adamantoise (eventually reborn within the New World)	reincarnated
Royal Ripeness	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (Paradox Ending)	non-canon
Serah Farron		Murdered by an army of Atlases (Paradox Ending)	non-canon
Serah Farron	Etro	Perished after seeing a vision of the future through the Eyes of Etro (soul preserved by Lightning and eventually reborn within the New World)	reincarnated
Serah Farron	Proto fal'Cie Adam	Murdered by the Proto fal'Cie Adam (undone when it was erased from existence)	undone
Twilight Odin	Serah Farron | Noel Kreiss	Slain by Serah Farron and Noel Kreiss (actual Eidolon remains alive)	clone
