character	killed by	death	type
Achilles	Paris | Apollo	Shot in the heel and multiple times in the heart with arrows by Paris, with Apollo's guidance	
Agravain	Lancelot	Murdered by Lancelot	
Alexander the Great		Died from unknown causes	
Amakusa Shirou Tokisada		Dismembered and beheaded after being sentenced to death by the Edo Shogunate	
Apsyrtus	Medea | Aphrodite	Sliced into pieces and then thrown into the sea by Medea after being brainwashed by Aphrodite	
Artoria Pendragon	Artoria Pendragon | Shirou EMIYA	Died after destroying the Holy Grail on orders from Shirou EMIYA	
Artoria Pendragon	Mordred	Mortally wounded by Mordred	
Astolfo		Died from unknown causes	
Atalanta		Died from unknown causes	
Avicebron		Died from unknown causes	
Aŋra Mainiiu		Died of old age after being continuously tortured by the people of his village	
Calydonian Boar	Meleager | Atalanta	Impaled by Meleager after being shot with arrows by Atalanta	
Chiron	Heracles | Chiron	Accidentally shot by Heracles with a poisoned arrow, gave up his immortality to be released from the agony it brought him	
Creon	Medea	Incinerated by Medea	
Creusa	Medea	Incinerated by Medea	
Culann's savage dog	Sétanta	Strangled to death by Sétanta	
Cú Chulainn	Medb	Impaled with his own spear during a battle led by Medb	
Diarmuid Ua Duibhne	Diarmuid Ua Duibhne's brother | Fionn mac Cumhaill	Fatally wounded by a Demon Boar who was his half-brother's reincarnation, left to die by Fionn mac Cumhaill who couldn't manage to heal him in time due to his anger	
Fafnir	Siegfried	Struck down with his Balmung by Siegfried	
Ferdiad	Cú Chulainn | Medb	Impaled through the heart by Cú Chulainn, orchestrated by Medb	
Fionn mac Cumhaill		Died in a war between the Knights of Fianna	
Forgall Monach	Cú Chulainn	Murdered in battle by Cú Chulainn	
Frankenstein	Frankenstein	Immolated herself in a pyre	
Gaheris	Lancelot	Murdered by Lancelot	
Gareth	Lancelot	Skull crushed by Lancelot	
Gawain	Mordred	Fatally wounded by Mordred	
Gilgamesh		Died of old age	
Gilles de Rais		Hanged for blasphemy and mass murdering children	
Gunther	Kriemhild	Murdered by Kriemhild	
Hagen	Kriemhild	Beheaded by Kriemhild using Balmung	
Hassan of the Cursed Arm		Died from unknown causes	
Hassan of the Hundred Faces		Died from unknown causes	
Hector	Achilles	Impaled with a spear by Achilles	
Heracles	Deianira | Heracles	Accidentally poisoned by Deianira and then immolated himself	
Jack the Ripper		Extinguished by a magus	
Jason		Crushed by the Argo's falling mast	
Jeanne d'Arc	Pierre Cauchon	Burned at the stake after being sentenced by bishop Pierre Cauchon	
Karna	Arjuna	Shot down with an arrow by Arjuna	
Kriemhild		Murdered by an unknown man	
Lancelot		Died from unknown causes	
Lernaean Hydra	Heracles	Beheaded one hundred times at once by Heracles	
Medea		Died from unknown causes	
Medusa	Perseus	Beheaded by Perseus using Harpe	
Megara	Heracles | Hera	Murdered by Heracles in a fit of madness caused by Hera	
Mordred	Artoria Pendragon	Impaled with Rhongomyniad by Artoria Pendragon	
Ninus	Semiramis	Poisoned by Semiramis	
Onnes	Onnes	Committed suicide via unknown means	
Patroclus	Hector	Murdered by Hector	
Pelias	Medea | Aphrodite | Jason	Sliced into pieces by his daughters via manipulation by Medea, due to Aphrodite's brainwashing, on orders from Jason	
Penthesilea	Achilles	Impaled by Achilles with his spear	
Sasaki Kojirou	Miyamoto Musashi	Murdered during a duel against Miyamoto Musashi	
Semiramis		Died from unknown causes	
Shirou EMIYA		Executed after being betrayed by his allies	
Siegfried	Hagen | Siegfried	Impaled through the back with a spear by Hagen on his own request	
Spartacus		Torn to pieces during a battle against the Roman Legions	
Victor Frankenstein		Died of old age	
Victor Frankenstein's fiancée	Frankenstein	Murdered by Frankenstein	
Vlad III		Struck down in battle against the Turkish army	
Vortigern	Artoria Pendragon	Impaled with Rhongomyniad by Artoria Pendragon	
William Shakespeare		Died from unknown causes	
