character	killed by	death	type
<4> Lucian High Council	Glauca | Iedolas Aldercapt | Ardyn Izunia	Slaughtered by Glauca during the Invasion of Insomnia orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Axis Arra	Petra Fortis	Presumably shot down alongside their airship by Petra Fortis	
Clarus Amicitia	Glauca	Impaled with a sword by Glauca	
Crowe Altius	Luche Lazarus | Glauca | Iedolas Aldercapt | Ardyn Izunia	Shot by Luche Lazarus during the Invasion of Insomnia led by Glauca and orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Luche Lazarus	Lunafreya Nox Fleuret	Incinerated after being tricked into wearing the Ring of the Lucii by Lunafreya Nox Fleuret	
Nyx Ulric	Nyx Ulric	Turned to ash after using the Ring of the Lucii's power in exchange for his life	
Pelna Khara	Ultros | Glauca | Iedolas Aldercapt | Ardyn Izunia	Thrashed around with one of its tentacles by Ultros during the Invasion of Insomnia led by Glauca and orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Petra Fortis	Glauca | Iedolas Aldercapt | Ardyn Izunia	Presumably murdered by Niflheim forces during the Invasion of Insomnia led by Glauca and orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Pruvia Colpus	Glauca | Iedolas Aldercapt | Ardyn Izunia	Shot by Niflheim forces during the Invasion of Insomnia led by Glauca and orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Regis Lucis Caelum	Glauca | Regis Lucis Caelum | Iedolas Aldercapt | Ardyn Izunia	Murdered by Glauca after purposefully staying behind to protect Lunafreya and Nyx during the Invasion of Insomnia orchestrated by Iedolas Aldercapt and Ardyn Izunia	
Selena Ulric		Murdered by Niflheim Empire forces	
Sonitus Bellum	Petra Fortis	Presumably shot down alongside their airship by Petra Fortis	
Titus Drautos	Nyx Ulric	Stabbed in the chest with a kukri by Nyx Ulric	
Tredd Furia	Petra Fortis	Presumably shot down alongside their airship by Petra Fortis	
Ultros		Impaled on the spire of a skyscraper and crushed by a falling airship	
